Deal,Amount,Status,Close Date
D-0,50000,Lost,2024-02-14
D-1,50000,Lost,2024-01-13
D-2,10000,Lost,2024-06-04
D-3,25000,Lost,2024-10-06
D-4,10000,No Decision,2024-07-13
D-5,10000,No Decision,2024-08-23
D-6,50000,Won,2024-01-18
D-7,50000,Lost,2024-06-16
D-8,10000,No Decision,2024-08-18
D-9,50000,No Decision,2024-06-14
D-10,25000,Won,2024-08-12
D-11,25000,No Decision,2024-10-23
D-12,10000,Won,2024-06-20
D-13,50000,Lost,2024-05-01
D-14,10000,No Decision,2024-05-16
D-15,50000,Lost,2024-03-20
D-16,10000,No Decision,2024-05-06
D-17,25000,No Decision,2024-09-24
D-18,10000,Lost,2024-04-30
D-19,10000,Lost,2024-05-12
D-20,10000,No Decision,2024-03-25
D-21,10000,No Decision,2024-04-10
D-22,10000,Lost,2024-03-16
D-23,50000,Lost,2024-06-01
D-24,25000,Lost,2024-04-10
D-25,50000,Won,2024-02-24
D-26,10000,Lost,2024-07-17
D-27,10000,Lost,2024-01-07
D-28,25000,Lost,2024-04-23
D-29,50000,No Decision,2024-05-31
D-30,10000,Lost,2024-03-13
D-31,50000,Lost,2024-07-26
D-32,50000,Won,2024-05-04
D-33,50000,Lost,2024-10-20
D-34,50000,No Decision,2024-08-03
D-35,50000,Won,2024-10-25
D-36,50000,Won,2024-04-02
D-37,10000,No Decision,2024-08-20
D-38,25000,Lost,2024-05-13
D-39,50000,No Decision,2024-02-20
